be,być,was were,been
suspend,zawieszać,suspended,suspended
experiment,eksperyment,experimented,experimented
ship,statek,shipped,shipped
frighten,przestraszyć,frightened,frightened
fool,oszukać,fooled,fooled
'ave,'zdrowaśka,'ad,'ad
inspire,inspirować,inspired,inspired
heal,uzdrowić,hole,holen
master,mistrz,mastered,mastered
terminate,zakończyć,terminated,terminated
amend,modyfikować,amended,amended
scratch,zadraśnięcie,scratched,scratched
embark,rozpocząć,embarked,embarked
entail,pociągać za sobą,entailed,entailed
execute,wykonać,executed,executed
consolidate,konsolidować,consolidated,consolidated
cash,gotówka,cashed,cashed
round,okrągły,rounded,rounded
isolate,izolować,isolated,isolated
warrant,nakaz,warranted,warranted
signal,sygnał,signalled,signalled
weaken,osłabiać,weakened,weakened
pin,kołek,pinned,pinned
march,Marsz,marched,marched
desire,pragnienie,desired,desired
widen,poszerzać,widened,widened
level,poziom,leveled,leveled
chat,czat,chatted,chatted
board,tablica,boarded,boarded
contend,walczyć,contended,contended
invent,wymyślać,invented,invented
resource,ratunek,resourced,resourced
manufacture,produkcja,manufactured,manufactured
seal,foka,sealed,sealed
reconsider,zrewidować,reconsidered,reconsidered
suck,ssać,sucked,sucked
picture,obrazek,pictured,pictured
crash,wypadek,crashed,crashed
transport,transport,transported,transported
plug,wtyczka,plugged,plugged
assign,przydzielać,assigned,assigned
enquire,dowiadywać się,enquired,enquired
campaign,kampania,campaigned,campaigned
trap,pułapka,trapped,trapped
surround,otaczać,surrounded,surrounded
debate,debata,debated,debated
upgrade,Aktualizacja,upgraded,upgraded
decorate,udekorować,decorated,decorated
confer,przyznać,conferred,conferred
accumulate,gromadzić,accumulated,accumulated
profit,zysk,profited,profited
file,plik,filed,filed
inherit,dziedziczyć,inherited,inherited
disrupt,zakłócać,disrupted,disrupted
contrast,kontrast,contrasted,contrasted
chuck,gdakanie,chucked,chucked
tick,kleszcz,ticked,ticked
plead,błagać,pleaded,pleaded
dip,zanurzać,dipped,dipped
subscribe,subskrybować,subscribed,subscribed
educate,kształcić,educated,educated
divorce,rozwód,divorced,divorced
spin,spin,spun,spun
row,rząd,rowed,rowed
obscure,niejasny,obscured,obscured
creep,pełzanie,crept,crept
interest,zainteresowanie,interested,interested
overlook,przeoczyć,overlooked,overlooked
twist,skręcać,twisted,twisted
mature,dojrzały,matured,matured
blend,mieszanka,blended,blended
revise,Poprawić,revised,revised
attribute,atrybut,attributed,attributed
explode,eksplodować,exploded,exploded
dwell,mieszkać,dwelt,dwelt
drown,utopić,drowned,drowned
alleviate,łagodzić,alleviated,alleviated
strip,rozebrać się,stripped,stripped
grade,stopień,graded,graded
revert,Odwracać,reverted,reverted
value,wartość,valued,valued
award,nagroda,awarded,awarded
strive,starać się,strove,striven
notify,notyfikować,notified,notified
remedy,zaradzić,remedied,remedied
accuse,oskarżać,accused,accused
instruct,pouczać,instructed,instructed
spill,rozlanie,spilled,spilled
strain,odcedzić,strained,strained
comprehend,zrozumieć,comprehended,comprehended
soften,złagodzić,softened,softened
postpone,odraczać,postponed,postponed
wave,fala,waved,waved
bounce,odbić się,bounced,bounced
stock,Zbiory,stocked,stocked
position,pozycja,positioned,positioned
insure,ubezpieczać,,
adhere,przylegać,adhered,adhered
cling,przylgnąć,clung,clung
summon,wezwać,summoned,summoned
pause,pauza,paused,paused
empty,pusty,emptied,emptied
classify,klasyfikować,classified,classified
